,BTC/USDC,ETH/USDC,SOL/USDC,XRP/USDC,TON/USDC,ADA/USDC,LINK/USDC,CRO/USDC,FARTCOIN/USDC,DOGE/USDC,XMR/USDC,AI16Z/USDC,LTC/USDC,DOT/USDC,ATOM/USDC,AVAX/USDC,PENGU/USDC,MELANIA/USDC,XTZ/USDC,SHIB/USDC,TRUMP/USDC,ALGO/USDC,BERA/USDC,BNB/USDC,BCH/USDC,MANA/USDC,S/USDC,VIRTUAL/USDC,APE/USDC
BTC/USDC,1.0,0.47284425070038455,0.4594214626640639,0.5068431000432064,-0.042203109476828655,0.1330170492271481,0.23855770324680653,0.5420290157162385,0.7903216768866792,0.2189861474548973,0.7439465265515064,0.11707887648319454,0.21900822703890271,0.028599230864753043,0.11570367947494564,0.14034587483042005,0.7888303256416752,-0.12689673695946785,0.037208669728290164,0.10906536853560879,0.10451362614443861,0.19262218992458338,-0.7047902524609265,0.8489498347365134,0.8096250993861008,0.18193895991047035,-0.30986060985054353,0.8553335549101255,0.2726303187373147
ETH/USDC,0.47284425070038455,1.0,0.8170992300688271,0.6311260766276229,0.67314428666317,0.7086939660210384,0.8147548873669977,0.6513346431552928,0.43143326624395345,0.8247986315722312,0.05523611114511042,0.44220627752990965,0.6572692571309646,0.7147625042126458,0.7447661611968753,0.7162572945701248,0.7999559409005687,0.3332564379670307,0.7765421526465095,0.7599329830098643,0.468978055647733,0.792521071657823,-0.31376690492922854,0.9221951039068047,0.6967043006567656,0.7689826329052519,-0.20139131302256427,0.6808354287773898,0.849912449294493
SOL/USDC,0.4594214626640639,0.8170992300688271,1.0,0.67408055100992,0.7156330634677887,0.7872302085676939,0.9162592125987753,0.6527737350375862,0.34833015362560993,0.9004661871879446,-0.10401629153993015,0.8263509310523196,0.7240986752375231,0.7532948858846503,0.7430869590556121,0.7367109664577273,0.5252735896829142,0.7062560633670083,0.7560722901807866,0.7996426009978588,0.831075084855449,0.8849565253755862,-0.15231377604250987,0.7293951504318007,0.433134557208599,0.8215538466915301,0.5019202058292025,0.7279622006329609,0.7831104412458602
XRP/USDC,0.5068431000432064,0.6311260766276229,0.67408055100992,1.0,0.3029749878445819,0.6193820873200159,0.5986902907268356,0.6616704543819576,0.25687453599494003,0.5485341833567648,0.0623901197218738,0.49571390490970546,0.683698174584496,0.3458305627492152,0.3784814615611356,0.3487390261539149,0.776609886721599,0.47759331886283335,0.44055974781689566,0.3916222131055396,0.5679314313590265,0.6156573369140623,-0.015104494921243989,0.803784250284609,0.38372485035144005,0.4205853808924307,0.04262519551965578,0.30728982957372797,0.3334661017354726
TON/USDC,-0.042203109476828655,0.67314428666317,0.7156330634677887,0.3029749878445819,1.0,0.8068442558330039,0.8769958398122447,0.44092112512648923,-0.16817927405182298,0.9054849078759198,-0.5596200399166843,0.7987437624164433,0.5300990547901063,0.9492187952657599,0.9313524885861488,0.8583028196612664,-0.0345667757089125,0.8798152411129618,0.9450261145266097,0.947596945576405,0.8556408990428827,0.8876869733037488,0.663663367930185,0.16341293316960048,0.21308582619528532,0.9203850945048572,0.6241626091273422,-0.1699670538047882,0.900312583562193
ADA/USDC,0.1330170492271481,0.7086939660210384,0.7872302085676939,0.6193820873200159,0.8068442558330039,1.0,0.8838680219946093,0.4991471032092611,0.0292444999854402,0.9086264251414975,-0.3464413841951361,0.7194370183938794,0.7013778343256045,0.8853536179983819,0.8589142029551805,0.7989655287164177,0.3182614716729374,0.6467794948398845,0.8682964421926328,0.882664073879639,0.7431764903955014,0.9183635085285456,0.3666472546861017,0.4926019322024055,0.27782497467111367,0.879816505869962,0.6417256944459703,0.15899607373688038,0.793617580355928
LINK/USDC,0.23855770324680653,0.8147548873669977,0.9162592125987753,0.5986902907268356,0.8769958398122447,0.8838680219946093,1.0,0.6440343585900713,0.1068182095706045,0.9629700305857097,-0.358894016842739,0.8634027468489305,0.7449461596378789,0.9130621665742995,0.8979549118908267,0.8793284138906367,0.43198853521350167,0.8210361340181066,0.9132362355310737,0.9277450367497265,0.8811805405444209,0.9605615643830792,0.2525132505390617,0.6568824931601115,0.35204829234588675,0.9235650721339637,0.47333086739531016,0.3671013751501301,0.8766062722724943
CRO/USDC,0.5420290157162385,0.6513346431552928,0.6527737350375862,0.6616704543819576,0.44092112512648923,0.4991471032092611,0.6440343585900713,1.0,0.46768154955287655,0.6100587471598468,0.3364362965128539,0.29772487346378385,0.2767379068251765,0.41246380196980986,0.6166369377917474,0.6472922502586657,0.6467741970802691,0.13164408312521816,0.46013119615398224,0.557650453237736,0.3486849196897502,0.5994820838912559,-0.26033479461524844,0.7459797447429126,0.3678476482934827,0.6068261328511213,0.2631960968755993,0.47863226613946214,0.5479140431349205
FARTCOIN/USDC,0.7903216768866792,0.43143326624395345,0.34833015362560993,0.25687453599494003,-0.16817927405182298,0.0292444999854402,0.1068182095706045,0.46768154955287655,1.0,0.1317031234011985,0.7878323567739404,0.022510221582018434,-0.1771940117504314,-0.06658689750114037,0.1847226368938576,0.17688640920544482,0.5975080902301634,-0.36340759984798504,-0.20240991796848917,0.10336216014702518,-0.040150858804201335,0.08558235929071255,-0.8373435107916734,0.6262328825319876,0.7446511657119149,0.3196099846382594,0.44165383019878607,0.7707507831474812,0.3230391535585943
DOGE/USDC,0.2189861474548973,0.8247986315722312,0.9004661871879446,0.5485341833567648,0.9054849078759198,0.9086264251414975,0.9629700305857097,0.6100587471598468,0.1317031234011985,1.0,-0.34484257346631964,0.8815518883588697,0.7265673009386932,0.9423419184629842,0.9228239494268102,0.8803254969615097,0.3965251859361954,0.8097685981216927,0.9412101236338315,0.965492277142876,0.8885715310661474,0.9736109595351606,0.21413149129073725,0.6397096422453281,0.35275504984126166,0.9560869396493769,0.58235669434312,0.46150855208960206,0.9188666189127733
